entity;code;year;alone;friends;children;family;partner;coworkers
United States;USA;15;19.330.588;1.094.145;23.463.852;26.712.091;0.0;83.420.067
United States;USA;16;20.637.056;1.107.418;28.609.867;2.543.381;0.030690858;23.529.137
United States;USA;17;22.417.331;12.041.887;26.089.708;22.981.561;11.228.406;43.809.685
United States;USA;18;24.269.839;13.775.107;27.387.308;23.635.201;56.972.671;81.633.575
United States;USA;19;26.779.385;12.985.716;36.445.004;2.012.766;19.341.291;12.485.052
United States;USA;20;27.760.379;1.227.402;54.630.512;17.313.503;2.635.417;1.439.003
United States;USA;21;27.021.817;12.240.627;69.293.869;15.267.331;59.897.781;15.420.972
United States;USA;22;28.356.686;10.016.862;72.302.246;1.358.266;55.767.094;1.730.473
United States;USA;23;27.093.015;10.107.177;96.935.883;12.579.333;78.188.667;19.010.524
United States;USA;24;26.581.378;96.786.346;99.394.424;10.375.845;9.944.416;20.605.486
United States;USA;25;27.512.906;77.543.015;11.950.971;10.102.744;12.125.083;19.920.917
United States;USA;26;28.163.202;77.856.834;12.859.393;87.654.915;13.991.745;19.009.406
United States;USA;27;2.593.331;74.140.686;15.333.383;85.956.535;15.188.562;21.148.781
United States;USA;28;26.113.989;62.491.688;17.583.809;80.147.217;16.824.556;21.214.497
United States;USA;29;25.366.589;55.084.454;19.449.931;816.101;17.619.919;19.911.349
United States;USA;30;25.002.524;53.478.016;19.976.436;72.476.334;18.002.309;21.561.365
United States;USA;31;25.316.542;50.925.926;22.592.371;69.526.543;20.371.202;19.906.003
United States;USA;32;25.507.323;49.464.462;23.071.593;61.336.475;19.200.175;20.276.134
United States;USA;33;24.490.091;49.731.628;25.641.312;66.359.383;20.002.365;18.696.373
United States;USA;34;26.359.116;42.650.288;26.118.497;65.723.053;19.923.759;17.936.411
United States;USA;35;26.262.488;41.661.636;24.893.806;62.107.143;19.827.702;19.068.065
United States;USA;36;27.327.942;40.120.937;25.659.799;64.809.921;19.755.948;17.894.667
United States;USA;37;26.709.787;43.362.503;25.637.634;56.446.011;20.400.514;18.847.969
United States;USA;38;25.899.704;42.101.093;25.445.975;54.001.514;20.330.919;19.709.261
United States;USA;39;28.198.877;33.611.919;26.607.874;52.701.588;21.207.637;17.279.756
